"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:56:51,1737734","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1737841","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1737923","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1738003","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\pa-Arab-PK","NAME NOT FOUND","Length: 532"
"14:56:51,1738071","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1738140","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1738215","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1738294","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\pa-Arab-PK","NAME NOT FOUND","Length: 532"
"14:56:51,1738362","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1738481","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1738564","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1738644","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\pa-Guru","NAME NOT FOUND","Length: 532"
